,N,M,n,m,T,Salary
53,0,0,4,1500,1,3364.2959295219894
54,0,0,4,2000,1,3451.091334727929
55,0,0,4,2500,1,3527.6503079045783
56,0,0,4,3000,1,3596.134643082165
57,0,0,5,100,1,3144.759274074095
58,0,0,5,200,1,3174.9972842367756
59,0,0,5,300,1,3203.8909299078177
60,0,0,5,400,1,3231.554679280035
61,0,0,5,500,1,3258.088975718201
62,0,0,5,600,1,3283.5824392678337
63,0,0,5,700,1,3308.113652456684
64,0,0,5,800,1,3331.7526211677527
65,0,0,5,900,1,3354.5619790450783
66,0,0,5,1000,1,3376.5979876342712
67,0,0,5,1500,1,3476.7959295219894
68,0,0,5,2000,1,3563.591334727929
69,0,0,5,2500,1,3640.1503079045783
70,0,0,5,3000,1,3708.634643082165
71,0,0,6,100,1,3257.259274074095
72,0,0,6,200,1,3287.4972842367756
73,0,0,6,300,1,3316.3909299078177
74,0,0,6,400,1,3344.054679280035
75,0,0,6,500,1,3370.588975718201
76,0,0,6,600,1,3396.0824392678337
77,0,0,6,700,1,3420.613652456684
78,0,0,6,800,1,3444.2526211677527
79,0,0,6,900,1,3467.0619790450783
80,0,0,6,1000,1,3489.0979876342712
81,0,0,6,1500,1,3589.2959295219894
82,0,0,6,2000,1,3676.091334727929
83,0,0,6,2500,1,3752.6503079045783
84,0,0,6,3000,1,3821.134643082165
85,0,0,7,100,1,3369.759274074095
86,0,0,7,200,1,3399.9972842367756
87,0,0,7,300,1,3428.8909299078177
88,0,0,7,400,1,3456.554679280035
89,0,0,7,500,1,3483.088975718201
90,0,0,7,600,1,3508.5824392678337
91,0,0,7,700,1,3533.113652456684
92,0,0,7,800,1,3556.7526211677527
93,0,0,7,900,1,3579.5619790450783
94,0,0,7,1000,1,3601.5979876342712
95,0,0,7,1500,1,3701.7959295219894
96,0,0,7,2000,1,3788.591334727929
97,0,0,7,2500,1,3865.1503079045783
98,0,0,7,3000,1,3933.634643082165
99,0,0,8,100,1,3482.259274074095
100,0,0,8,200,1,3512.4972842367756
101,0,0,8,300,1,3541.3909299078177
102,0,0,8,400,1,3569.054679280035
103,0,0,8,500,1,3595.588975718201
104,0,0,8,600,1,3621.0824392678337
105,0,0,8,700,1,3645.613652456684
106,0,0,8,800,1,3669.2526211677527
107,0,0,8,900,1,3692.0619790450783
108,0,0,8,1000,1,3714.0979876342712
109,0,0,8,1500,1,3814.2959295219894
110,0,0,8,2000,1,3901.091334727929
111,0,0,8,2500,1,3977.6503079045783
112,0,0,8,3000,1,4046.134643082165
113,0,0,9,100,1,3594.759274074095
114,0,0,9,200,1,3624.9972842367756
115,0,0,9,300,1,3653.8909299078177
116,0,0,9,400,1,3681.554679280035
117,0,0,9,500,1,3708.088975718201
118,0,0,9,600,1,3733.5824392678337
119,0,0,9,700,1,3758.113652456684
120,0,0,9,800,1,3781.7526211677527
121,0,0,9,900,1,3804.5619790450783
122,0,0,9,1000,1,3826.5979876342712
123,0,0,9,1500,1,3926.7959295219894
124,0,0,9,2000,1,4013.591334727929
125,0,0,9,2500,1,4090.1503079045783
126,0,0,9,3000,1,4158.634643082165
127,0,0,10,100,1,3707.259274074095
128,0,0,10,200,1,3737.4972842367756
129,0,0,10,300,1,3766.3909299078177
130,0,0,10,400,1,3794.054679280035
131,0,0,10,500,1,3820.588975718201
132,0,0,10,600,1,3846.0824392678337
133,0,0,10,700,1,3870.613652456684
134,0,0,10,800,1,3894.2526211677527
135,0,0,10,900,1,3917.0619790450783
136,0,0,10,1000,1,3939.0979876342712
137,0,0,10,1500,1,4039.2959295219894
138,0,0,10,2000,1,4126.091334727929
139,0,0,10,2500,1,4202.650307904578
140,0,0,10,3000,1,4271.134643082165
141,1,100,0,0,1,3390.4683778111958
142,1,100,1,100,1,3064.529161073972
143,1,100,1,200,1,2981.3088780687626
144,1,100,1,300,1,2953.160826334816
145,1,100,1,400,1,2946.38591348794
146,1,100,1,500,1,2949.80813579299
147,1,100,1,600,1,2958.6797481612084
148,1,100,1,700,1,2970.658611307616
149,1,100,1,800,1,2984.4680531109775
150,1,100,1,900,1,2999.361351716808
151,1,100,1,1000,1,3014.8787149561495
152,1,100,1,1500,1,3094.378359223612
153,1,100,1,2000,1,3170.054619384119
154,1,100,1,2500,1,3239.63918095766
155,1,100,1,3000,1,3303.3304957392043
156,1,100,2,100,1,3133.279161073972
157,1,100,2,200,1,3050.0588780687626
158,1,100,2,300,1,3021.910826334816
159,1,100,2,400,1,3015.13591348794
160,1,100,2,500,1,3018.55813579299
161,1,100,2,600,1,3027.4297481612084
162,1,100,2,700,1,3039.408611307616
163,1,100,2,800,1,3053.2180531109775
164,1,100,2,900,1,3068.111351716808
165,1,100,2,1000,1,3083.6287149561495
166,1,100,2,1500,1,3163.128359223612
167,1,100,2,2000,1,3238.804619384119
168,1,100,2,2500,1,3308.38918095766
169,1,100,2,3000,1,3372.0804957392043
170,1,100,3,100,1,3223.904161073972
171,1,100,3,200,1,3140.6838780687626
172,1,100,3,300,1,3112.535826334816
173,1,100,3,400,1,3105.76091348794
174,1,100,3,500,1,3109.18313579299
175,1,100,3,600,1,3118.0547481612084
176,1,100,3,700,1,3130.033611307616
177,1,100,3,800,1,3143.8430531109775
178,1,100,3,900,1,3158.736351716808
179,1,100,3,1000,1,3174.2537149561495
180,1,100,3,1500,1,3253.753359223612
181,1,100,3,2000,1,3329.429619384119
182,1,100,3,2500,1,3399.01418095766
183,1,100,3,3000,1,3462.7054957392043
184,1,100,4,100,1,3323.279161073972
185,1,100,4,200,1,3240.0588780687626
186,1,100,4,300,1,3211.910826334816
187,1,100,4,400,1,3205.13591348794
188,1,100,4,500,1,3208.55813579299
189,1,100,4,600,1,3217.4297481612084
190,1,100,4,700,1,3229.408611307616
191,1,100,4,800,1,3243.2180531109775
192,1,100,4,900,1,3258.111351716808
193,1,100,4,1000,1,3273.6287149561495
194,1,100,4,1500,1,3353.128359223612
195,1,100,4,2000,1,3428.804619384119
196,1,100,4,2500,1,3498.38918095766
197,1,100,4,3000,1,3562.0804957392043
198,1,100,5,100,1,3427.029161073972
199,1,100,5,200,1,3343.8088780687626
200,1,100,5,300,1,3315.660826334816
201,1,100,5,400,1,3308.88591348794
202,1,100,5,500,1,3312.30813579299
203,1,100,5,600,1,3321.1797481612084
204,1,100,5,700,1,3333.158611307616
205,1,100,5,800,1,3346.9680531109775
206,1,100,5,900,1,3361.861351716808
207,1,100,5,1000,1,3377.3787149561495
208,1,100,5,1500,1,3456.878359223612
209,1,100,5,2000,1,3532.554619384119
210,1,100,5,2500,1,3602.13918095766
211,1,100,5,3000,1,3665.8304957392043
212,1,100,6,100,1,3533.279161073972
213,1,100,6,200,1,3450.0588780687626
214,1,100,6,300,1,3421.910826334816
215,1,100,6,400,1,3415.13591348794
216,1,100,6,500,1,3418.55813579299
217,1,100,6,600,1,3427.4297481612084
218,1,100,6,700,1,3439.408611307616
219,1,100,6,800,1,3453.2180531109775
220,1,100,6,900,1,3468.111351716808
221,1,100,6,1000,1,3483.6287149561495
222,1,100,6,1500,1,3563.128359223612
223,1,100,6,2000,1,3638.804619384119
224,1,100,6,2500,1,3708.38918095766
225,1,100,6,3000,1,3772.0804957392043
226,1,100,7,100,1,3641.091661073972
227,1,100,7,200,1,3557.8713780687626
228,1,100,7,300,1,3529.723326334816
229,1,100,7,400,1,3522.94841348794
230,1,100,7,500,1,3526.37063579299
231,1,100,7,600,1,3535.2422481612084
232,1,100,7,700,1,3547.221111307616
233,1,100,7,800,1,3561.0305531109775
234,1,100,7,900,1,3575.923851716808
235,1,100,7,1000,1,3591.4412149561495
236,1,100,7,1500,1,3670.940859223612
237,1,100,7,2000,1,3746.617119384119
238,1,100,7,2500,1,3816.20168095766
239,1,100,7,3000,1,3879.8929957392043
240,1,100,8,100,1,3749.9458277406384
241,1,100,8,200,1,3666.725544735429
242,1,100,8,300,1,3638.5774930014827
243,1,100,8,400,1,3631.8025801546064
244,1,100,8,500,1,3635.2248024596565
245,1,100,8,600,1,3644.096414827875
246,1,100,8,700,1,3656.0752779742825
247,1,100,8,800,1,3669.884719777644
248,1,100,8,900,1,3684.7780183834743
249,1,100,8,1000,1,3700.295381622816
250,1,100,8,1500,1,3779.7950258902783
251,1,100,8,2000,1,3855.4712860507857
252,1,100,8,2500,1,3925.0558476243264
253,1,100,8,3000,1,3988.7471624058708
254,1,100,9,100,1,3859.529161073972
255,1,100,9,200,1,3776.3088780687626
256,1,100,9,300,1,3748.160826334816
257,1,100,9,400,1,3741.38591348794
258,1,100,9,500,1,3744.80813579299
259,1,100,9,600,1,3753.6797481612084
260,1,100,9,700,1,3765.658611307616
261,1,100,9,800,1,3779.4680531109775
262,1,100,9,900,1,3794.361351716808
263,1,100,9,1000,1,3809.8787149561495
264,1,100,9,1500,1,3889.378359223612
265,1,100,9,2000,1,3965.054619384119
266,1,100,9,2500,1,4034.63918095766
267,1,100,9,3000,1,4098.330495739205
268,1,200,0,0,1,3404.061037911167
269,1,200,1,100,1,3189.976826229708
270,1,200,1,200,1,3106.0169733895978
271,1,200,1,300,1,3065.9328512576794
272,1,200,1,400,1,3047.283832318147
273,1,200,1,500,1,3040.4958438657327
274,1,200,1,600,1,3040.81460144748
275,1,200,1,700,1,3045.6241271768768
276,1,200,1,800,1,3053.374715799345
277,1,200,1,900,1,3063.096057443083
278,1,200,1,1000,1,3074.1541060506993
279,1,200,1,1500,1,3138.2615016791137
280,1,200,1,2000,1,3204.8778302360006
281,1,200,1,2500,1,3268.494415816248
282,1,200,1,3000,1,3327.957219216632
283,1,200,2,100,1,3258.726826229708
284,1,200,2,200,1,3174.7669733895978
285,1,200,2,300,1,3134.6828512576794
286,1,200,2,400,1,3116.033832318147
287,1,200,2,500,1,3109.2458438657327
288,1,200,2,600,1,3109.56460144748
289,1,200,2,700,1,3114.3741271768768
290,1,200,2,800,1,3122.124715799345
291,1,200,2,900,1,3131.846057443083
292,1,200,2,1000,1,3142.9041060506993
293,1,200,2,1500,1,3207.0115016791137
294,1,200,2,2000,1,3273.6278302360006
295,1,200,2,2500,1,3337.244415816248
296,1,200,2,3000,1,3396.707219216632
297,1,200,3,100,1,3349.351826229708
298,1,200,3,200,1,3265.3919733895978
299,1,200,3,300,1,3225.3078512576794
300,1,200,3,400,1,3206.658832318147
301,1,200,3,500,1,3199.8708438657327
302,1,200,3,600,1,3200.18960144748
303,1,200,3,700,1,3204.9991271768768
304,1,200,3,800,1,3212.749715799345
305,1,200,3,900,1,3222.471057443083
306,1,200,3,1000,1,3233.5291060506993
307,1,200,3,1500,1,3297.6365016791137
308,1,200,3,2000,1,3364.2528302360006
309,1,200,3,2500,1,3427.869415816248
310,1,200,3,3000,1,3487.332219216632
311,1,200,4,100,1,3448.726826229708
312,1,200,4,200,1,3364.7669733895978
313,1,200,4,300,1,3324.6828512576794
314,1,200,4,400,1,3306.033832318147
315,1,200,4,500,1,3299.2458438657327
316,1,200,4,600,1,3299.56460144748
317,1,200,4,700,1,3304.3741271768768
318,1,200,4,800,1,3312.124715799345
319,1,200,4,900,1,3321.846057443083
320,1,200,4,1000,1,3332.9041060506993
321,1,200,4,1500,1,3397.0115016791137
322,1,200,4,2000,1,3463.6278302360006
323,1,200,4,2500,1,3527.244415816248
324,1,200,4,3000,1,3586.707219216632
325,1,200,5,100,1,3552.476826229708
326,1,200,5,200,1,3468.5169733895978
327,1,200,5,300,1,3428.4328512576794
328,1,200,5,400,1,3409.783832318147
329,1,200,5,500,1,3402.9958438657327
330,1,200,5,600,1,3403.31460144748
331,1,200,5,700,1,3408.1241271768768
332,1,200,5,800,1,3415.874715799345
333,1,200,5,900,1,3425.596057443083
334,1,200,5,1000,1,3436.6541060506993
335,1,200,5,1500,1,3500.7615016791137
336,1,200,5,2000,1,3567.3778302360006
337,1,200,5,2500,1,3630.994415816248
338,1,200,5,3000,1,3690.457219216632
339,1,200,6,100,1,3658.726826229708
340,1,200,6,200,1,3574.7669733895978
341,1,200,6,300,1,3534.6828512576794
342,1,200,6,400,1,3516.033832318147
343,1,200,6,500,1,3509.2458438657327
344,1,200,6,600,1,3509.56460144748
345,1,200,6,700,1,3514.3741271768768
346,1,200,6,800,1,3522.124715799345
347,1,200,6,900,1,3531.846057443083
348,1,200,6,1000,1,3542.9041060506993
349,1,200,6,1500,1,3607.0115016791137
350,1,200,6,2000,1,3673.6278302360006
351,1,200,6,2500,1,3737.244415816248
352,1,200,6,3000,1,3796.707219216632
353,1,200,7,100,1,3766.539326229708
354,1,200,7,200,1,3682.5794733895978
355,1,200,7,300,1,3642.4953512576794
356,1,200,7,400,1,3623.846332318147
357,1,200,7,500,1,3617.0583438657327
358,1,200,7,600,1,3617.37710144748
359,1,200,7,700,1,3622.1866271768768
360,1,200,7,800,1,3629.937215799345
361,1,200,7,900,1,3639.658557443083
362,1,200,7,1000,1,3650.7166060506993
363,1,200,7,1500,1,3714.8240016791137
364,1,200,7,2000,1,3781.4403302360006
365,1,200,7,2500,1,3845.056915816248
366,1,200,7,3000,1,3904.519719216632
367,1,200,8,100,1,3875.3934928963745
368,1,200,8,200,1,3791.4336400562643
369,1,200,8,300,1,3751.349517924346
370,1,200,8,400,1,3732.7004989848133
371,1,200,8,500,1,3725.912510532399
372,1,200,8,600,1,3726.2312681141466
373,1,200,8,700,1,3731.0407938435433
374,1,200,8,800,1,3738.7913824660113
375,1,200,8,900,1,3748.5127241097493
376,1,200,8,1000,1,3759.570772717366
377,1,200,8,1500,1,3823.6781683457803
378,1,200,8,2000,1,3890.294496902667
379,1,200,8,2500,1,3953.9110824829145
380,1,200,8,3000,1,4013.3738858832985
381,1,200,9,100,1,3984.976826229708
382,1,200,9,200,1,3901.0169733895978
383,1,200,9,300,1,3860.9328512576794
384,1,200,9,400,1,3842.283832318147
385,1,200,9,500,1,3835.4958438657327
386,1,200,9,600,1,3835.81460144748
387,1,200,9,700,1,3840.6241271768768
388,1,200,9,800,1,3848.374715799345
389,1,200,9,900,1,3858.096057443083
390,1,200,9,1000,1,3869.1541060506993
391,1,200,9,1500,1,3933.2615016791137
392,1,200,9,2000,1,3999.8778302360006
393,1,200,9,2500,1,4063.494415816248
394,1,200,9,3000,1,4122.957219216632
395,1,300,0,0,1,3417.3947743906533
396,1,300,1,100,1,3258.8731204443784
397,1,300,1,200,1,3185.479789027419
398,1,300,1,300,1,3144.759528843303
399,1,300,1,400,1,3122.3119395702565
400,1,300,1,500,1,3110.9705915873437
401,1,300,1,600,1,3106.780201242776
402,1,300,1,700,1,3107.3880798818814
403,1,300,1,800,1,3111.3133999300167
404,1,300,1,900,1,3117.5821458892024
405,1,300,1,1000,1,3125.5307904004267
406,1,300,1,1500,1,3178.0165492345914
407,1,300,1,2000,1,3237.186148965993
408,1,300,1,2500,1,3295.66673238788
409,1,300,1,3000,1,3351.3839267262983
410,1,300,2,100,1,3327.6231204443784
411,1,300,2,200,1,3254.229789027419
412,1,300,2,300,1,3213.509528843303
413,1,300,2,400,1,3191.0619395702565
414,1,300,2,500,1,3179.7205915873437
415,1,300,2,600,1,3175.530201242776
416,1,300,2,700,1,3176.1380798818814
417,1,300,2,800,1,3180.0633999300167
418,1,300,2,900,1,3186.3321458892024
419,1,300,2,1000,1,3194.2807904004267
420,1,300,2,1500,1,3246.7665492345914
421,1,300,2,2000,1,3305.936148965993
422,1,300,2,2500,1,3364.41673238788
423,1,300,2,3000,1,3420.1339267262983
424,1,300,3,100,1,3418.2481204443784
425,1,300,3,200,1,3344.854789027419
426,1,300,3,300,1,3304.134528843303
427,1,300,3,400,1,3281.6869395702565
428,1,300,3,500,1,3270.3455915873437
429,1,300,3,600,1,3266.155201242776
430,1,300,3,700,1,3266.7630798818814
431,1,300,3,800,1,3270.6883999300167
432,1,300,3,900,1,3276.9571458892024
433,1,300,3,1000,1,3284.9057904004267
434,1,300,3,1500,1,3337.3915492345914
435,1,300,3,2000,1,3396.561148965993
436,1,300,3,2500,1,3455.04173238788
437,1,300,3,3000,1,3510.7589267262983
438,1,300,4,100,1,3517.6231204443784
439,1,300,4,200,1,3444.229789027419
440,1,300,4,300,1,3403.509528843303
441,1,300,4,400,1,3381.0619395702565
442,1,300,4,500,1,3369.7205915873437
443,1,300,4,600,1,3365.530201242776
444,1,300,4,700,1,3366.1380798818814
445,1,300,4,800,1,3370.0633999300167
446,1,300,4,900,1,3376.3321458892024
447,1,300,4,1000,1,3384.2807904004267
448,1,300,4,1500,1,3436.7665492345914
449,1,300,4,2000,1,3495.936148965993
450,1,300,4,2500,1,3554.41673238788
451,1,300,4,3000,1,3610.1339267262983
452,1,300,5,100,1,3621.3731204443784
453,1,300,5,200,1,3547.979789027419
454,1,300,5,300,1,3507.259528843303
455,1,300,5,400,1,3484.8119395702565
456,1,300,5,500,1,3473.4705915873437
457,1,300,5,600,1,3469.280201242776
458,1,300,5,700,1,3469.8880798818814
459,1,300,5,800,1,3473.8133999300167
460,1,300,5,900,1,3480.0821458892024
461,1,300,5,1000,1,3488.0307904004267
462,1,300,5,1500,1,3540.5165492345914
463,1,300,5,2000,1,3599.686148965993
464,1,300,5,2500,1,3658.16673238788
465,1,300,5,3000,1,3713.8839267262983
466,1,300,6,100,1,3727.6231204443784
467,1,300,6,200,1,3654.229789027419
468,1,300,6,300,1,3613.509528843303
469,1,300,6,400,1,3591.0619395702565
470,1,300,6,500,1,3579.7205915873437
471,1,300,6,600,1,3575.530201242776
472,1,300,6,700,1,3576.1380798818814
473,1,300,6,800,1,3580.0633999300167
474,1,300,6,900,1,3586.3321458892024
475,1,300,6,1000,1,3594.2807904004267
476,1,300,6,1500,1,3646.7665492345914
477,1,300,6,2000,1,3705.936148965993
478,1,300,6,2500,1,3764.41673238788
479,1,300,6,3000,1,3820.1339267262983
480,1,300,7,100,1,3835.4356204443784
481,1,300,7,200,1,3762.042289027419
482,1,300,7,300,1,3721.322028843303
483,1,300,7,400,1,3698.8744395702565
484,1,300,7,500,1,3687.5330915873437
485,1,300,7,600,1,3683.342701242776
486,1,300,7,700,1,3683.9505798818814
487,1,300,7,800,1,3687.8758999300167
488,1,300,7,900,1,3694.1446458892024
489,1,300,7,1000,1,3702.0932904004267
490,1,300,7,1500,1,3754.5790492345914
491,1,300,7,2000,1,3813.748648965993
492,1,300,7,2500,1,3872.22923238788
493,1,300,7,3000,1,3927.9464267262983
494,1,300,8,100,1,3944.289787111045
495,1,300,8,200,1,3870.8964556940855
496,1,300,8,300,1,3830.1761955099696
497,1,300,8,400,1,3807.728606236923
498,1,300,8,500,1,3796.3872582540102
499,1,300,8,600,1,3792.1968679094425
500,1,300,8,700,1,3792.804746548548
501,1,300,8,800,1,3796.730066596683
502,1,300,8,900,1,3802.998812555869
503,1,300,8,1000,1,3810.947457067093
504,1,300,8,1500,1,3863.433215901258
505,1,300,8,2000,1,3922.6028156326597
506,1,300,8,2500,1,3981.0833990545466
507,1,300,8,3000,1,4036.800593392965
508,1,300,9,100,1,4053.8731204443784
509,1,300,9,200,1,3980.479789027419
510,1,300,9,300,1,3939.759528843303
511,1,300,9,400,1,3917.3119395702565
512,1,300,9,500,1,3905.9705915873437
513,1,300,9,600,1,3901.780201242776
514,1,300,9,700,1,3902.3880798818814
515,1,300,9,800,1,3906.3133999300167
516,1,300,9,900,1,3912.5821458892024
517,1,300,9,1000,1,3920.5307904004267
518,1,300,9,1500,1,3973.0165492345914
519,1,300,9,2000,1,4032.186148965993
520,1,300,9,2500,1,4090.66673238788
521,1,300,9,3000,1,4146.383926726298
522,1,400,0,0,1,3430.4792674991604
523,1,400,1,100,1,3305.0267267971585
524,1,400,1,200,1,3242.2352253684594
525,1,400,1,300,1,3204.128035274781
526,1,400,1,400,1,3181.126581727207
527,1,400,1,500,1,3167.9362753086752
528,1,400,1,600,1,3161.401443964418
529,1,400,1,700,1,3159.53074241695
530,1,400,1,800,1,3161.010185727706
531,1,400,1,900,1,3164.9411856982083
532,1,400,1,1000,1,3170.6910484691075
533,1,400,1,1500,1,3214.2911234505846
534,1,400,1,2000,1,3267.291793025131
535,1,400,1,2500,1,3321.3288899885783
536,1,400,1,3000,1,3373.7155403234538
537,1,400,2,100,1,3373.7767267971585
538,1,400,2,200,1,3310.9852253684594
539,1,400,2,300,1,3272.878035274781
540,1,400,2,400,1,3249.876581727207
541,1,400,2,500,1,3236.6862753086752
542,1,400,2,600,1,3230.151443964418
543,1,400,2,700,1,3228.28074241695
544,1,400,2,800,1,3229.760185727706
545,1,400,2,900,1,3233.6911856982083
546,1,400,2,1000,1,3239.4410484691075
547,1,400,2,1500,1,3283.0411234505846
548,1,400,2,2000,1,3336.041793025131
549,1,400,2,2500,1,3390.0788899885783
550,1,400,2,3000,1,3442.4655403234538
551,1,400,3,100,1,3464.4017267971585
552,1,400,3,200,1,3401.6102253684594
553,1,400,3,300,1,3363.503035274781
554,1,400,3,400,1,3340.501581727207
555,1,400,3,500,1,3327.3112753086752
556,1,400,3,600,1,3320.776443964418
557,1,400,3,700,1,3318.90574241695
558,1,400,3,800,1,3320.385185727706
559,1,400,3,900,1,3324.3161856982083
560,1,400,3,1000,1,3330.0660484691075
561,1,400,3,1500,1,3373.6661234505846
562,1,400,3,2000,1,3426.666793025131
563,1,400,3,2500,1,3480.7038899885783
564,1,400,3,3000,1,3533.0905403234538
565,1,400,4,100,1,3563.7767267971585
566,1,400,4,200,1,3500.9852253684594
567,1,400,4,300,1,3462.878035274781
568,1,400,4,400,1,3439.876581727207
569,1,400,4,500,1,3426.6862753086752
570,1,400,4,600,1,3420.151443964418
571,1,400,4,700,1,3418.28074241695
572,1,400,4,800,1,3419.760185727706
573,1,400,4,900,1,3423.6911856982083
574,1,400,4,1000,1,3429.4410484691075
575,1,400,4,1500,1,3473.0411234505846
576,1,400,4,2000,1,3526.041793025131
577,1,400,4,2500,1,3580.0788899885783
578,1,400,4,3000,1,3632.4655403234538
579,1,400,5,100,1,3667.5267267971585
580,1,400,5,200,1,3604.7352253684594
581,1,400,5,300,1,3566.628035274781
582,1,400,5,400,1,3543.626581727207
583,1,400,5,500,1,3530.4362753086752
584,1,400,5,600,1,3523.901443964418
585,1,400,5,700,1,3522.03074241695
586,1,400,5,800,1,3523.510185727706
587,1,400,5,900,1,3527.4411856982083
588,1,400,5,1000,1,3533.1910484691075
589,1,400,5,1500,1,3576.7911234505846
590,1,400,5,2000,1,3629.791793025131
591,1,400,5,2500,1,3683.8288899885783
592,1,400,5,3000,1,3736.2155403234538
593,1,400,6,100,1,3773.7767267971585
594,1,400,6,200,1,3710.9852253684594
595,1,400,6,300,1,3672.878035274781
596,1,400,6,400,1,3649.876581727207
597,1,400,6,500,1,3636.6862753086752
598,1,400,6,600,1,3630.151443964418
599,1,400,6,700,1,3628.28074241695
600,1,400,6,800,1,3629.760185727706
601,1,400,6,900,1,3633.6911856982083
602,1,400,6,1000,1,3639.4410484691075
603,1,400,6,1500,1,3683.0411234505846
604,1,400,6,2000,1,3736.041793025131
605,1,400,6,2500,1,3790.0788899885783
606,1,400,6,3000,1,3842.4655403234538
607,1,400,7,100,1,3881.5892267971585
608,1,400,7,200,1,3818.7977253684594
609,1,400,7,300,1,3780.690535274781
610,1,400,7,400,1,3757.689081727207
611,1,400,7,500,1,3744.4987753086752
612,1,400,7,600,1,3737.963943964418
613,1,400,7,700,1,3736.09324241695
614,1,400,7,800,1,3737.572685727706
615,1,400,7,900,1,3741.5036856982083
616,1,400,7,1000,1,3747.2535484691075
617,1,400,7,1500,1,3790.8536234505846
618,1,400,7,2000,1,3843.854293025131
619,1,400,7,2500,1,3897.8913899885783
620,1,400,7,3000,1,3950.2780403234538
621,1,400,8,100,1,3990.443393463825
622,1,400,8,200,1,3927.651892035126
623,1,400,8,300,1,3889.5447019414473
624,1,400,8,400,1,3866.5432483938735
625,1,400,8,500,1,3853.3529419753418
626,1,400,8,600,1,3846.8181106310844
627,1,400,8,700,1,3844.9474090836165
628,1,400,8,800,1,3846.4268523943724
629,1,400,8,900,1,3850.357852364875
630,1,400,8,1000,1,3856.107715135774
631,1,400,8,1500,1,3899.707790117251
632,1,400,8,2000,1,3952.7084596917975
633,1,400,8,2500,1,4006.745556655245
634,1,400,8,3000,1,4059.1322069901203
635,1,400,9,100,1,4100.0267267971585
636,1,400,9,200,1,4037.2352253684594
637,1,400,9,300,1,3999.128035274781
638,1,400,9,400,1,3976.126581727207
639,1,400,9,500,1,3962.9362753086752
640,1,400,9,600,1,3956.401443964418
641,1,400,9,700,1,3954.53074241695
642,1,400,9,800,1,3956.010185727706
643,1,400,9,900,1,3959.9411856982083
644,1,400,9,1000,1,3965.6910484691075
645,1,400,9,1500,1,4009.2911234505846
646,1,400,9,2000,1,4062.291793025131
647,1,400,9,2500,1,4116.328889988578
648,1,400,9,3000,1,4168.715540323454
649,1,500,0,0,1,3443.3236645668976
650,1,500,1,100,1,3339.7109218936157
651,1,500,1,200,1,3285.944130979305
652,1,500,1,300,1,3251.282571867071
653,1,500,1,400,1,3229.092349374575
654,1,500,1,500,1,3215.414808046955
655,1,500,1,600,1,3207.748084903884
656,1,500,1,700,1,3204.438225566209
657,1,500,1,800,1,3204.3515809959895
658,1,500,1,900,1,3206.6878029477907
659,1,500,1,1000,1,3210.8677942916975
660,1,500,1,1500,1,3247.6027771306262
661,1,500,1,2000,1,3295.4566691995797
662,1,500,1,2500,1,3345.6303824311185
663,1,500,1,3000,1,3395.0448391681784
664,1,500,2,100,1,3408.4609218936157
665,1,500,2,200,1,3354.694130979305
666,1,500,2,300,1,3320.032571867071
667,1,500,2,400,1,3297.842349374575
668,1,500,2,500,1,3284.164808046955
